movieId,title,release_date,description
1,Toy Story (1995),01-Jan-1995,Toy Story (1995)
2,GoldenEye (1995),01-Jan-1995,GoldenEye (1995)
3,Four Rooms (1995),01-Jan-1995,Four Rooms (1995)
4,Get Shorty (1995),01-Jan-1995,Get Shorty (1995)
5,Copycat (1995),01-Jan-1995,Copycat (1995)
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),01-Jan-1995,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
7,Twelve Monkeys (1995),01-Jan-1995,Twelve Monkeys (1995)
8,Babe (1995),01-Jan-1995,Babe (1995)
9,Dead Man Walking (1995),01-Jan-1995,Dead Man Walking (1995)
10,Richard III (1995),22-Jan-1996,Richard III (1995)
11,Seven (Se7en) (1995),01-Jan-1995,Seven (Se7en) (1995)
12,"Usual Suspects, The (1995)",14-Aug-1995,"Usual Suspects, The (1995)"
13,Mighty Aphrodite (1995),30-Oct-1995,Mighty Aphrodite (1995)
14,"Postino, Il (1994)",01-Jan-1994,"Postino, Il (1994)"
15,Mr. Holland's Opus (1995),29-Jan-1996,Mr. Holland's Opus (1995)
16,French Twist (Gazon maudit) (1995),01-Jan-1995,French Twist (Gazon maudit) (1995)
17,From Dusk Till Dawn (1996),05-Feb-1996,From Dusk Till Dawn (1996)
18,"White Balloon, The (1995)",01-Jan-1995,"White Balloon, The (1995)"
19,Antonia's Line (1995),01-Jan-1995,Antonia's Line (1995)
20,Angels and Insects (1995),01-Jan-1995,Angels and Insects (1995)
21,Muppet Treasure Island (1996),16-Feb-1996,Muppet Treasure Island (1996)
22,Braveheart (1995),16-Feb-1996,Braveheart (1995)
23,Taxi Driver (1976),16-Feb-1996,Taxi Driver (1976)
24,Rumble in the Bronx (1995),23-Feb-1996,Rumble in the Bronx (1995)
25,"Birdcage, The (1996)",08-Mar-1996,"Birdcage, The (1996)"
26,"Brothers McMullen, The (1995)",01-Jan-1995,"Brothers McMullen, The (1995)"
27,Bad Boys (1995),01-Jan-1995,Bad Boys (1995)
28,Apollo 13 (1995),01-Jan-1995,Apollo 13 (1995)
29,Batman Forever (1995),01-Jan-1995,Batman Forever (1995)
30,Belle de jour (1967),01-Jan-1967,Belle de jour (1967)
31,Crimson Tide (1995),01-Jan-1995,Crimson Tide (1995)
32,Crumb (1994),01-Jan-1994,Crumb (1994)
33,Desperado (1995),01-Jan-1995,Desperado (1995)
34,"Doom Generation, The (1995)",01-Jan-1995,"Doom Generation, The (1995)"
35,Free Willy 2: The Adventure Home (1995),01-Jan-1995,Free Willy 2: The Adventure Home (1995)
36,Mad Love (1995),01-Jan-1995,Mad Love (1995)
37,Nadja (1994),01-Jan-1994,Nadja (1994)
38,"Net, The (1995)",01-Jan-1995,"Net, The (1995)"
39,Strange Days (1995),01-Jan-1995,Strange Days (1995)
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",01-Jan-1995,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
41,Billy Madison (1995),01-Jan-1995,Billy Madison (1995)
42,Clerks (1994),01-Jan-1994,Clerks (1994)
43,Disclosure (1994),01-Jan-1994,Disclosure (1994)
44,Dolores Claiborne (1994),01-Jan-1994,Dolores Claiborne (1994)
45,Eat Drink Man Woman (1994),01-Jan-1994,Eat Drink Man Woman (1994)
46,Exotica (1994),01-Jan-1994,Exotica (1994)
47,Ed Wood (1994),01-Jan-1994,Ed Wood (1994)
48,Hoop Dreams (1994),01-Jan-1994,Hoop Dreams (1994)
49,I.Q. (1994),01-Jan-1994,I.Q. (1994)
50,Star Wars (1977),01-Jan-1977,Star Wars (1977)
51,Legends of the Fall (1994),01-Jan-1994,Legends of the Fall (1994)
52,"Madness of King George, The (1994)",01-Jan-1994,"Madness of King George, The (1994)"
53,Natural Born Killers (1994),01-Jan-1994,Natural Born Killers (1994)
